Time(ms),Digital2,Digital3,Digital4,Pos(mm)
74,1092,1028,1096,0
94,1084,1036,1088,0
114,1116,1064,1104,1
134,1120,1044,1132,1
154,1128,1052,1124,3
174,1132,1096,1140,4
194,1148,1088,1128,6
215,1160,1116,1140,7
235,1176,1192,1180,9
256,1216,1368,1252,11
276,1332,1736,1488,12
299,1580,2664,2132,14
320,1904,3428,3256,16
343,2400,3808,3812,18
362,2964,3948,3848,19
384,3560,3952,3940,22
404,3808,4140,3948,24
423,3880,4176,3960,26
444,4080,4172,3992,28
464,4168,4268,3996,29
484,4300,4328,3972,31
504,4324,4216,3916,33
524,4336,4236,4072,35
544,4348,4116,3948,38
565,4212,4076,3976,39
584,4168,4032,3848,41
604,3888,4024,3744,43
623,3532,3876,3512,45
642,2584,3464,2832,47
658,1788,2688,2240,49
677,1356,1844,1636,51
696,1240,1352,1296,53
716,1228,1352,1200,55
736,1364,1676,1344,57
758,1568,2368,1804,59
779,1908,2676,2440,61
800,2320,2844,2808,63
820,2708,2984,2892,64
841,2836,3008,2904,66
860,3000,3016,2976,68
881,3056,3036,2992,70
902,3080,3044,2952,72
920,3012,3028,2972,74
942,3084,3016,2928,76
961,3120,3012,2952,78
982,3156,3072,2968,80
1001,3140,2988,2984,82
1021,3184,2952,2936,84
1041,3112,2908,2816,86
1060,3020,2912,2772,88
1080,2908,2804,2656,89
1099,2552,2700,2348,92
1118,1956,2300,1964,94
1137,1504,1788,1580,95
1156,1268,1420,1304,97
1176,1232,1288,1196,99
1197,1316,1452,1252,101
1217,1488,1816,1432,103
1239,1728,2068,1792,105
1258,2004,2180,2076,107
1279,2220,2212,2172,109
1299,2304,2192,2212,111
1319,2348,2212,2228,112
1339,2332,2280,2260,114
1359,2344,2280,2204,116
1379,2340,2288,2220,118
1399,2344,2248,2264,120
1419,2456,2256,2268,122
1439,2408,2236,2240,124
1459,2392,2256,2244,126
1478,2456,2256,2228,128
1498,2424,2260,2188,130
1518,2380,2196,2140,132
1539,2332,2220,2040,134
1558,2192,2120,1896,136
1578,1896,1956,1616,138
1596,1604,1644,1428,140
1616,1352,1384,1220,141
1635,1228,1212,1168,143
1656,1268,1272,1208,145
1676,1384,1480,1272,147
1696,1516,1668,1496,149
1717,1648,1748,1652,151
1737,1788,1752,1736,153
1757,1808,1796,1748,155
1777,1844,1812,1780,157
1797,1896,1812,1796,159
1817,1904,1788,1828,160
1838,1916,1836,1824,162
1858,1956,1812,1844,164
1878,1896,1812,1796,166
1897,1892,1840,1820,168
1917,1872,1800,1804,170
1937,1920,1812,1860,172
1957,1916,1804,1804,174
1977,1872,1848,1796,176
1997,1852,1812,1748,178
2017,1828,1776,1696,180
2037,1704,1716,1604,182
2057,1564,1580,1472,183
2076,1336,1396,1300,185
2096,1256,1252,1176,187
2116,1248,1220,1156,189
2136,1300,1268,1184,191
2156,1404,1372,1252,193
2177,1480,1412,1296,195
2196,1484,1452,1380,197
2216,1548,1472,1436,198
2236,1524,1452,1476,200
2256,1512,1424,1480,202
2276,1504,1424,1488,204
2296,1532,1464,1472,206
2316,1528,1452,1440,208
2336,1532,1432,1480,210
2356,1488,1416,1472,212
2376,1480,1408,1456,214
2396,1504,1416,1420,216
2416,1464,1408,1424,218
2436,1484,1388,1388,220
2456,1480,1368,1352,222
2477,1436,1396,1320,224
2496,1448,1376,1264,226
2517,1384,1296,1224,228
2535,1276,1192,1188,230
2555,1200,1124,1176,232
2575,1168,1112,1148,234
2595,1156,1128,1152,235
2615,1160,1104,1164,238
2635,1184,1124,1164,239
2655,1232,1192,1232,241
2676,1364,1292,1316,243
2696,1528,1376,1412,245
2716,1488,1388,1464,247
2736,1484,1432,1492,249
2756,1500,1416,1488,251
2776,1464,1428,1504,253
2796,1500,1444,1484,255
2817,1492,1436,1504,257
2836,1504,1420,1520,258
2856,1504,1404,1480,260
2876,1496,1396,1528,262
2896,1484,1392,1524,264
2916,1528,1388,1504,266
2936,1516,1412,1492,268
2956,1508,1436,1512,270
2976,1500,1424,1524,272
2996,1512,1420,1480,274
3016,1468,1428,1456,276
3036,1476,1416,1412,278
3056,1508,1372,1360,280
