Time(ms),Pos(mm),Raw_ADC,Raw_Dig,Gray_True,Gray_ADC,Gray_Dig
73,0.00,589,936,255.00,94.00,222.00
92,0.26,528,936,254.70,112.00,222.00
112,1.18,524,936,253.63,113.00,222.00
132,2.37,526,952,252.26,113.00,221.00
152,3.68,530,948,250.73,111.00,221.00
172,5.26,525,960,248.90,113.00,221.00
192,6.97,522,936,246.92,114.00,222.00
213,8.94,523,936,244.63,114.00,222.00
233,10.92,538,956,242.35,109.00,221.00
253,13.02,522,944,239.91,114.00,222.00
273,14.86,522,932,237.77,114.00,222.00
293,16.97,531,936,235.33,111.00,222.00
313,18.94,525,948,233.05,113.00,221.00
333,20.91,533,964,230.76,111.00,221.00
353,22.88,529,960,228.47,112.00,221.00
373,24.86,536,964,226.19,110.00,221.00
393,26.83,533,988,223.90,111.00,220.00
414,29.07,536,988,221.31,110.00,220.00
433,30.78,541,1032,219.33,108.00,218.00
454,32.88,540,1040,216.89,108.00,217.00
473,34.98,546,1048,214.45,107.00,217.00
493,37.09,547,1056,212.01,106.00,217.00
514,38.93,555,1096,209.88,104.00,215.00
534,41.03,560,1104,207.44,102.00,214.00
555,43.27,556,1140,204.85,104.00,213.00
573,45.24,572,1148,202.56,99.00,212.00
593,47.48,569,1160,199.97,100.00,212.00
614,49.58,574,1200,197.53,98.00,210.00
634,51.69,580,1208,195.09,96.00,210.00
653,53.66,585,1256,192.80,95.00,207.00
674,55.90,589,1312,190.21,94.00,205.00
694,58.00,584,1352,187.77,95.00,203.00
714,60.10,586,1384,185.33,95.00,202.00
734,61.95,594,1460,183.20,92.00,198.00
754,64.05,599,1476,180.76,91.00,197.00
774,66.02,596,1508,178.47,92.00,196.00
794,68.26,606,1544,175.88,89.00,194.00
814,70.36,602,1584,173.44,90.00,192.00
834,72.47,608,1644,171.00,88.00,190.00
854,74.31,614,1716,168.87,86.00,186.00
874,76.54,626,1716,166.28,83.00,186.00
895,78.52,630,1784,163.99,81.00,183.00
914,80.62,618,1824,161.55,85.00,182.00
934,82.59,624,1828,159.27,83.00,181.00
954,84.44,636,1900,157.13,80.00,178.00
975,86.67,633,1956,154.54,81.00,176.00
994,88.64,628,2004,152.25,82.00,173.00
1014,90.88,629,2064,149.66,82.00,171.00
1035,92.85,635,2100,147.37,80.00,169.00
1054,94.96,635,2128,144.94,80.00,168.00
1075,97.06,636,2188,142.50,80.00,165.00
1095,99.17,640,2268,140.06,78.00,161.00
1115,101.01,651,2292,137.92,75.00,160.00
1134,103.11,653,2336,135.48,75.00,158.00
1155,105.08,669,2388,133.20,70.00,156.00
1175,107.19,646,2452,130.76,77.00,153.00
1196,109.29,644,2428,128.32,77.00,154.00
1215,111.40,664,2476,125.88,71.00,152.00
1236,113.50,651,2520,123.44,75.00,150.00
1255,115.47,649,2556,121.15,76.00,148.00
1275,117.58,665,2640,118.71,71.00,144.00
1295,119.55,666,2696,116.43,71.00,142.00
1315,121.53,654,2800,114.14,74.00,137.00
1335,123.50,660,2924,111.85,72.00,131.00
1355,125.60,662,3000,109.42,72.00,128.00
1376,127.58,662,3068,107.13,72.00,125.00
1395,129.68,658,2940,104.69,73.00,131.00
1415,131.65,660,2944,102.40,72.00,131.00
1436,133.76,666,3232,99.96,71.00,117.00
1456,135.86,681,3240,97.53,66.00,117.00
1476,137.96,666,3288,95.09,71.00,115.00
1496,139.94,671,3320,92.80,69.00,113.00
1516,141.91,675,3408,90.51,68.00,109.00
1537,144.01,674,3516,88.07,68.00,105.00
1556,146.12,672,3596,85.63,69.00,101.00
1576,148.22,697,3676,83.20,61.00,97.00
1596,150.33,680,3836,80.76,66.00,90.00
1616,152.30,691,4028,78.47,63.00,81.00
1637,154.27,683,4052,76.18,66.00,80.00
1656,156.38,680,4128,73.74,66.00,77.00
1677,158.35,690,4212,71.46,63.00,73.00
1696,160.45,682,4340,69.02,66.00,67.00
1717,162.43,684,4596,66.73,65.00,55.00
1737,164.40,703,4728,64.45,60.00,49.00
1757,166.37,699,4944,62.16,61.00,39.00
1777,168.21,700,4836,60.02,60.00,44.00
1797,170.19,712,4912,57.74,57.00,41.00
1818,172.29,705,5200,55.30,59.00,28.00
1839,174.40,691,5252,52.86,63.00,25.00
1858,176.37,689,5276,50.57,64.00,24.00
1879,178.34,690,5436,48.29,63.00,17.00
1897,180.44,690,5368,45.85,63.00,20.00
1919,182.55,695,5752,43.41,62.00,3.00
1938,184.52,692,5460,41.12,63.00,16.00
1958,186.76,694,5712,38.53,62.00,5.00
1978,188.60,705,5540,36.40,59.00,12.00
1998,190.97,690,5472,33.65,63.00,15.00
2018,192.94,706,5648,31.37,59.00,7.00
2038,195.04,706,5664,28.93,59.00,7.00
2058,197.02,710,5860,26.64,57.00,0.00
2078,199.25,696,5792,24.05,62.00,1.00
2098,201.22,698,5624,21.76,61.00,9.00
2118,203.46,694,6264,19.17,62.00,0.00
2139,205.43,697,6256,16.88,61.00,0.00
2158,207.67,699,6088,14.29,61.00,0.00
2179,209.64,697,5920,12.01,61.00,0.00
2198,211.61,695,5900,9.72,62.00,0.00
2219,213.72,697,5928,7.28,61.00,0.00
2238,215.56,697,5672,5.15,61.00,6.00
2258,217.66,696,5592,2.71,62.00,10.00
2278,219.51,702,5428,0.57,60.00,17.00
2298,221.61,712,5240,0.00,57.00,26.00
2317,223.45,693,5140,0.00,63.00,31.00
2338,225.56,716,5604,0.00,56.00,9.00
2358,227.66,698,5832,0.00,61.00,0.00
2378,229.63,694,5752,0.00,62.00,3.00
2398,231.61,710,5792,0.00,57.00,1.00
2418,233.71,708,5784,0.00,58.00,1.00
2438,235.68,695,6096,0.00,62.00,0.00
2458,237.79,699,6136,0.00,61.00,0.00
