Time,S2_Raw,S3_Raw,S4_Raw,Chord3,Diameter
74,1116,1036,1176,0,0.00
104,1156,1072,1192,0,0.00
135,1156,1192,1220,0,0.00
165,1248,1664,1308,0,0.00
197,1508,2532,1808,0,0.00
228,1992,2908,2656,0,0.00
261,2584,3076,3412,0,0.00
291,2872,3184,3548,0,0.00
321,3000,3124,3504,0,0.00
350,2832,3032,3360,0,0.00
379,2156,2832,2688,0,0.00
406,1476,1964,1984,0,0.00
435,1196,1180,1416,26,30.04
464,1132,968,1192,0,0.00
494,1116,980,1184,0,0.00
524,1124,952,1172,0,0.00
555,1164,1044,1164,0,0.00
585,1216,1320,1260,0,0.00
616,1436,2204,1600,0,0.00
648,1972,2908,2736,0,0.00
680,2652,3072,3648,0,0.00
711,3148,3196,3704,0,0.00
741,3452,3260,3816,0,0.00
772,3500,3184,3760,0,0.00
801,3080,3164,3528,0,0.00
829,2392,2868,2824,0,0.00
857,1520,1896,2004,0,0.00
886,1192,1140,1380,31,33.27
915,1120,948,1176,0,0.00
945,1112,964,1156,0,0.00
975,1140,1012,1164,0,0.00
1006,1196,1284,1228,0,0.00
1037,1500,2228,1584,0,0.00
1071,2168,2972,2832,0,0.00
1102,3088,3176,3564,0,0.00
1132,3404,3248,3684,0,0.00
1162,3476,3248,3776,0,0.00
1192,3576,3308,3836,0,0.00
1222,3516,3308,3756,0,0.00
1252,3388,3220,3524,0,0.00
1281,2748,2824,2756,0,0.00
1307,1656,1888,1932,0,0.00
1336,1176,1132,1360,31,35.08
1366,1104,964,1172,0,0.00
1395,1100,972,1176,0,0.00
1426,1156,1204,1184,0,0.00
1457,1476,2164,1540,0,0.00
1489,2252,2980,2688,0,0.00
1521,3196,3172,3612,0,0.00
1553,3556,3324,3948,0,0.00
1583,3744,3412,3876,0,0.00
1613,3808,3368,3816,0,0.00
1643,3760,3400,3736,0,0.00
1674,3828,3332,3780,0,0.00
1703,3668,3248,3420,0,0.00
1731,2952,2876,2788,0,0.00
1758,1812,1916,1972,0,0.00
1786,1236,1128,1348,34,37.86
1816,1148,1012,1176,0,0.00
1846,1204,1220,1208,0,0.00
1879,1560,2204,1508,0,0.00
1911,2372,3036,2576,0,0.00
1943,3272,3276,3600,0,0.00
1973,3540,3400,3908,0,0.00
2004,3640,3444,3884,0,0.00
2034,3708,3452,3904,0,0.00
2064,3876,3464,3864,0,0.00
2095,3984,3428,3948,0,0.00
2124,3900,3456,3852,0,0.00
2154,3864,3412,3584,0,0.00
2183,3368,3016,2860,0,0.00
2209,2060,2032,2032,0,0.00
2237,1320,1240,1424,36,40.77
2267,1232,1160,1240,0,0.00
2298,1488,1820,1376,0,0.00
2330,2132,2888,2176,0,0.00
2362,3240,3248,3548,0,0.00
2395,3756,3424,3904,0,0.00
2424,3876,3512,4000,0,0.00
2454,3848,3632,4116,0,0.00
2485,3984,3520,4068,0,0.00
2516,4000,3596,4032,0,0.00
2546,4092,3556,4052,0,0.00
2575,3988,3416,3920,0,0.00
2606,3912,3340,3716,0,0.00
2634,3488,3012,3136,0,0.00
2660,2212,2140,2160,0,0.00
2689,1308,1244,1468,40,44.58
2717,1144,968,1144,0,0.00
2747,1092,932,1120,0,0.00
2777,1100,948,1108,0,0.00
2807,1088,932,1120,0,0.00
2837,1088,928,1124,0,0.00
2867,1100,936,1100,0,0.00
2897,1084,944,1140,0,0.00
2927,1108,940,1112,0,0.00
2957,1096,952,1152,0,0.00
2988,1092,948,1156,0,0.00
3017,1096,936,1160,0,0.00
3047,1108,956,1160,0,0.00

