Time(ms),Digital(us),Pos(mm)
72,912,0.00
92,920,0.39
112,928,1.32
132,936,2.24
152,944,3.68
172,936,5.26
191,916,6.97
213,912,8.81
233,924,10.65
253,936,12.63
273,944,14.47
293,964,16.31
313,1004,18.41
333,1016,20.39
353,1004,22.36
373,1028,24.46
393,1040,26.44
413,1060,28.54
433,1072,30.51
453,1092,32.49
473,1116,34.59
493,1136,36.56
513,1164,38.54
533,1192,40.77
554,1232,42.88
573,1280,44.98
593,1324,47.08
613,1368,49.06
633,1412,51.16
653,1440,53.13
673,1472,55.24
693,1528,57.21
714,1548,59.05
733,1580,61.03
753,1616,63.13
773,1652,64.97
794,1684,67.07
813,1772,68.92
834,1748,71.02
853,1796,73.12
874,1824,75.10
893,1888,77.20
914,1920,79.31
934,1956,81.41
954,2000,83.25
974,2096,85.36
994,2128,87.33
1014,2192,89.43
1034,2240,91.41
1054,2248,93.51
1074,2284,95.48
1094,2344,97.59
1114,2380,99.69
1134,2440,101.80
1154,2504,103.77
1175,2552,105.87
1195,2656,107.98
1215,2788,109.95
1236,2908,112.19
1255,2980,114.03
1275,2908,116.13
1295,2792,118.10
1315,3092,120.21
1335,3180,122.18
1355,3196,124.29
1375,3204,126.26
1395,3288,128.36
1415,3316,130.34
1435,3320,132.44
1455,3364,134.54
1475,3496,136.65
1495,3604,138.62
1515,3620,140.73
1537,3768,142.83
1555,3852,144.80
1576,4004,146.91
1596,4072,148.88
1616,4204,150.98
1636,4392,152.83
1656,4432,154.93
1676,4556,156.77
1696,4600,158.88
1717,4864,160.85
1736,4920,162.82
1757,4996,164.79
1776,4976,166.90
1797,5340,168.74
1817,5428,170.84
1838,5316,172.82
1857,5312,174.79
1878,5404,176.89
1897,5292,178.87
1917,5520,180.84
1937,5344,182.81
1957,5236,184.92
1977,5160,186.76
1997,5192,188.86
2017,5452,190.70
2037,5576,192.81
2057,5472,194.91
2077,5300,197.02
2097,5648,198.86
2117,5800,200.83
2137,5572,202.80
2157,5324,204.78
2178,4920,206.88
2196,4540,208.85
2216,4644,210.83
2237,5184,212.67
2257,5280,214.90
2277,5436,216.74
2297,5400,218.85
2317,5316,220.95
2337,5376,222.93
2357,5528,224.77
2377,5596,226.87
2397,5588,228.97
2417,5604,231.08
2437,5560,233.05
2457,5364,235.16
2478,5356,237.13
2497,5296,239.10
2518,5232,241.21
2537,5200,243.05
2557,5052,245.15
2577,4872,246.99
2596,4212,249.10
2615,3052,251.07
2634,1936,253.04
2653,1288,255.02
2673,1016,256.99
2693,956,258.83
2713,944,260.93
2732,940,262.64
2753,928,264.88
2773,920,266.72
2793,912,268.83
2813,916,270.93
2832,908,272.64
2852,912,274.74
2873,916,276.85
2893,912,278.69
2913,908,280.79
2933,900,282.90
2953,896,284.74
2973,888,286.98
2993,900,288.95
3012,892,290.79
3032,884,292.76
3053,876,294.87
