Time(ms),ADC(0-1023),Pos(mm)
72,728,0.00
99,729,0.79
128,731,1.97
156,735,4.08
183,740,6.31
212,732,8.94
240,729,11.84
269,734,14.60
296,740,17.62
324,747,20.52
353,753,23.67
380,759,26.70
408,764,29.72
436,769,32.62
464,776,35.77
493,783,38.67
520,791,41.69
548,800,44.72
577,809,47.87
604,818,50.77
632,828,53.79
660,835,56.69
688,842,59.71
717,849,62.74
744,854,65.50
772,859,68.39
800,866,71.28
828,871,74.18
856,877,77.07
884,883,80.10
913,887,83.12
940,892,86.01
968,898,88.91
996,902,92.06
1024,905,94.96
1053,909,97.98
1080,911,100.88
1108,913,103.77
1136,917,106.80
1164,923,109.82
1192,927,112.71
1220,929,115.48
1248,926,118.50
1276,933,121.66
1304,938,124.42
1332,939,127.44
1360,941,130.47
1388,945,133.36
1416,945,136.26
1444,949,139.41
1473,953,142.44
1500,955,145.33
1528,956,148.36
1556,960,151.25
1585,963,154.01
1613,965,156.90
1640,966,159.80
1669,971,162.69
1696,972,165.58
1724,972,168.21
1752,973,171.11
1781,974,174.00
1809,975,177.03
1836,975,179.92
1864,975,182.81
1892,975,185.84
1921,976,188.73
1948,974,191.89
1976,977,194.65
2004,975,197.54
2032,976,200.57
2060,978,203.59
2088,975,206.49
2116,970,209.38
2145,967,212.40
2172,974,215.56
2200,974,218.32
2228,974,221.22
2257,974,224.24
2284,976,227.27
2313,974,230.03
2340,975,232.79
2369,974,235.81
2396,973,238.71
2424,972,241.60
2452,971,244.63
2481,968,247.12
2508,963,250.02
2536,932,252.91
2565,848,255.54
2593,760,258.57
2621,744,261.46
2649,739,264.09
2676,733,266.98
2705,729,270.01
2732,729,272.77
2760,729,275.80
2789,728,278.69
2816,727,281.45
2844,728,284.48
2872,725,287.37
2900,722,290.27
2928,720,293.29
2956,716,296.05
2984,713,299.21
3013,710,301.97
3040,704,304.87
3068,699,308.02
3096,699,310.92
3124,720,313.81
3152,762,316.97
3180,777,319.86
3209,779,322.75
3236,777,325.78
3264,776,328.80
3292,774,331.57
3320,770,334.59
3348,765,337.35
3376,757,340.25
3405,775,343.14
